Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 3:12:02 PM
Exported by: paberbuj

Start: (-29.81, -28.46, -30.09)
End:   (29.53, -28.46, 29.53)

	Campo 1
-42.549582	0.000000
-42.524577	0.000000
-42.499572	0.000000
-42.474567	0.000000
-42.449562	0.000000
-42.424557	0.000000
-42.399552	0.293401
-42.374547	0.351043
-42.349542	0.406432
-42.324537	0.459567
-42.299532	0.510447
-42.274527	0.554178
-42.249522	0.590942
-42.224517	0.626528
-42.199512	0.660937
-42.174506	0.694168
-42.149501	0.726221
-42.124496	0.757096
-42.099491	0.786794
-42.074486	0.815314
-42.049481	0.829584
-42.024476	0.833097
-41.999471	0.836610
-41.974466	0.840123
-41.949461	0.843638
-41.924456	0.847237
-41.899451	0.851046
-41.874446	0.854870
-41.849441	0.858711
-41.824436	0.862567
-41.799431	0.866439
-41.774426	0.870327
-41.749421	0.874231
-41.724416	0.878150
-41.699411	0.882155
-41.674406	0.886286
-41.649401	0.890467
-41.624396	0.894697
-41.599391	0.898976
-41.574386	0.903305
-41.549381	0.907685
-41.524375	0.912115
-41.499370	0.916596
-41.474365	0.921126
-41.449360	0.925706
-41.424355	0.930336
-41.399350	0.935017
-41.374345	0.939747
-41.349340	0.944572
-41.324335	0.949497
-41.299330	0.954423
-41.274325	0.959348
-41.249320	0.964274
-41.224315	0.969199
-41.199310	0.974349
-41.174305	0.979510
-41.149300	0.984671
-41.124295	0.989831
-41.099290	0.994991
-41.074285	1.000151
-41.049280	1.005310
-41.024275	1.010469
-40.999270	1.015680
-40.974265	1.021090
-40.949260	1.026550
-40.924255	1.032060
-40.899250	1.037620
-40.874244	1.043230
-40.849239	1.048898
-40.824234	1.054588
-40.799229	1.060295
-40.774224	1.066017
-40.749219	1.071756
-40.724214	1.077510
-40.699209	1.083281
-40.674204	1.089068
-40.649199	1.094896
-40.624194	1.100914
-40.599189	1.106965
-40.574184	1.113049
-40.549179	1.119167
-40.524174	1.125319
-40.499169	1.131585
-40.474164	1.137911
-40.449159	1.144238
-40.424154	1.150565
-40.399149	1.156893
-40.374144	1.163222
-40.349139	1.169551
-40.324134	1.175881
-40.299129	1.182212
-40.274124	1.188592
-40.249119	1.195054
-40.224114	1.201600
-40.199108	1.208229
-40.174103	1.214942
-40.149098	1.221994
-40.124093	1.229444
-40.099088	1.236944
-40.074083	1.244493
-40.049078	1.252092
-40.024073	1.259741
-39.999068	1.267439
-39.974063	1.275187
-39.949058	1.282984
-39.924053	1.290578
-39.899048	1.298119
-39.874043	1.305626
-39.849038	1.313100
-39.824033	1.320540
-39.799028	1.327947
-39.774023	1.335392
-39.749018	1.342921
-39.724013	1.350532
-39.699008	1.358226
-39.674003	1.366004
-39.648998	1.373864
-39.623993	1.381807
-39.598988	1.389833
-39.573983	1.398012
-39.548977	1.406212
-39.523972	1.414412
-39.498967	1.422611
-39.473962	1.430808
-39.448957	1.439037
-39.423952	1.447640
-39.398947	1.456293
-39.373942	1.464998
-39.348937	1.473753
-39.323932	1.482560
-39.298927	1.491417
-39.273922	1.500326
-39.248917	1.509286
-39.223912	1.518272
-39.198907	1.527271
-39.173902	1.536286
-39.148897	1.545318
-39.123892	1.554366
-39.098887	1.563432
-39.073882	1.572823
-39.048877	1.582292
-39.023872	1.591810
-38.998867	1.601378
-38.973862	1.610995
-38.948857	1.620662
-38.923852	1.630377
-38.898846	1.640142
-38.873841	1.650099
-38.848836	1.660198
-38.823831	1.670347
-38.798826	1.680545
-38.773821	1.690792
-38.748816	1.701089
-38.723811	1.711355
-38.698806	1.721615
-38.673801	1.731891
-38.648796	1.742184
-38.623791	1.752494
-38.598786	1.762821
-38.573781	1.773164
-38.548776	1.783525
-38.523771	1.793865
-38.498766	1.804172
-38.473761	1.814478
-38.448756	1.824784
-38.423751	1.835089
-38.398746	1.845393
-38.373741	1.855858
-38.348736	1.866486
-38.323731	1.877164
-38.298726	1.887892
-38.273721	1.898671
-38.248715	1.909499
-38.223710	1.920377
-38.198705	1.931305
-38.173700	1.942406
-38.148695	1.953759
-38.123690	1.965177
-38.098685	1.976660
-38.073680	1.988209
-38.048675	1.999823
-38.023670	2.011467
-37.998665	2.023051
-37.973660	2.034602
-37.948655	2.046117
-37.923650	2.057599
-37.898645	2.069046
-37.873640	2.080460
-37.848635	2.091839
-37.823630	2.103135
-37.798625	2.114344
-37.773620	2.125620
-37.748615	2.136963
-37.723610	2.148374
-37.698605	2.159851
-37.673600	2.171464
-37.648595	2.183376
-37.623590	2.195337
-37.598584	2.207348
-37.573579	2.219408
-37.548574	2.231517
-37.523569	2.243676
-37.498564	2.255884
-37.473559	2.268174
-37.448554	2.280672
-37.423549	2.293236
-37.398544	2.305866
-37.373539	2.318562
-37.348534	2.331323
-37.323529	2.344168
-37.298524	2.357400
-37.273519	2.370632
-37.248514	2.383864
-37.223509	2.397097
-37.198504	2.410330
-37.173499	2.423564
-37.148494	2.436798
-37.123489	2.450019
-37.098484	2.463095
-37.073479	2.476189
-37.048474	2.489301
-37.023469	2.502430
-36.998464	2.515578
-36.973459	2.528743
-36.948454	2.541667
-36.923448	2.554587
-36.898443	2.567541
-36.873438	2.580529
-36.848433	2.593551
-36.823428	2.606607
-36.798423	2.619696
-36.773418	2.632820
-36.748413	2.646327
-36.723408	2.659958
-36.698403	2.673705
-36.673398	2.687567
-36.648393	2.701544
-36.623388	2.715637
-36.598383	2.730299
-36.573378	2.745174
-36.548373	2.760049
-36.523368	2.774924
-36.498363	2.789798
-36.473358	2.804673
-36.448353	2.819548
-36.423348	2.834423
-36.398343	2.848995
-36.373338	2.863520
-36.348333	2.878045
-36.323328	2.892571
-36.298323	2.907096
-36.273317	2.921621
-36.248312	2.936512
-36.223307	2.951783
-36.198302	2.967121
-36.173297	2.982526
-36.148292	2.997999
-36.123287	3.013538
-36.098282	3.029145
-36.073277	3.044818
-36.048272	3.060576
-36.023267	3.076434
-35.998262	3.092392
-35.973257	3.108451
-35.948252	3.124609
-35.923247	3.140867
-35.898242	3.157101
-35.873237	3.173160
-35.848232	3.189250
-35.823227	3.205373
-35.798222	3.221527
-35.773217	3.237714
-35.748212	3.253932
-35.723207	3.270182
-35.698202	3.286253
-35.673197	3.302204
-35.648192	3.318139
-35.623186	3.334060
-35.598181	3.349964
-35.573176	3.365853
-35.548171	3.381716
-35.523166	3.397562
-35.498161	3.413475
-35.473156	3.429455
-35.448151	3.445503
-35.423146	3.461617
-35.398141	3.477799
-35.373136	3.494047
-35.348131	3.510462
-35.323126	3.527036
-35.298121	3.543692
-35.273116	3.560430
-35.248111	3.577249
-35.223106	3.594150
-35.198101	3.611132
-35.173096	3.628177
-35.148091	3.645272
-35.123086	3.662416
-35.098081	3.679610
-35.073076	3.696854
-35.048071	3.714148
-35.023066	3.731491
-34.998061	3.748886
-34.973055	3.766333
-34.948050	3.783829
-34.923045	3.801376
-34.898040	3.818973
-34.873035	3.836620
-34.848030	3.854316
-34.823025	3.872012
-34.798020	3.889702
-34.773015	3.907391
-34.748010	3.925079
-34.723005	3.942767
-34.698000	3.960454
-34.672995	3.978140
-34.647990	3.995876
-34.622985	4.013756
-34.597980	4.031705
-34.572975	4.049721
-34.547970	4.067804
-34.522965	4.085955
-34.497960	4.104173
-34.472955	4.123006
