Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 2:43:28 PM
Exported by: paberbuj

Start: (-29.79, -25.09, -29.57)
End:   (30.02, -25.09, 29.79)

	Campo 1
-42.148017	1.075260
-42.123012	1.087268
-42.098007	1.098076
-42.073001	1.107684
-42.047996	1.115573
-42.022990	1.120503
-41.997985	1.125432
-41.972980	1.130359
-41.947974	1.135287
-41.922969	1.140213
-41.897963	1.145024
-41.872958	1.149764
-41.847953	1.154547
-41.822947	1.159374
-41.797942	1.164244
-41.772936	1.169157
-41.747931	1.174114
-41.722926	1.179113
-41.697920	1.184156
-41.672915	1.189404
-41.647909	1.194667
-41.622904	1.199944
-41.597898	1.205232
-41.572893	1.210534
-41.547888	1.215928
-41.522882	1.221457
-41.497877	1.227030
-41.472871	1.232646
-41.447866	1.238305
-41.422861	1.244007
-41.397855	1.249753
-41.372850	1.255542
-41.347844	1.261374
-41.322839	1.267239
-41.297834	1.273149
-41.272828	1.279108
-41.247823	1.285116
-41.222817	1.291174
-41.197812	1.297483
-41.172807	1.304172
-41.147801	1.310862
-41.122796	1.317551
-41.097790	1.324240
-41.072785	1.330929
-41.047780	1.337619
-41.022774	1.344308
-40.997769	1.350997
-40.972763	1.358035
-40.947758	1.365351
-40.922752	1.372716
-40.897747	1.380132
-40.872742	1.387597
-40.847736	1.395124
-40.822731	1.402672
-40.797725	1.410176
-40.772720	1.417637
-40.747715	1.425054
-40.722709	1.432428
-40.697704	1.439759
-40.672698	1.447046
-40.647693	1.454290
-40.622688	1.461468
-40.597682	1.468661
-40.572677	1.475941
-40.547671	1.483307
-40.522666	1.490760
-40.497661	1.498285
-40.472655	1.505815
-40.447650	1.513401
-40.422644	1.521042
-40.397639	1.528739
-40.372633	1.536493
-40.347628	1.544301
-40.322623	1.552166
-40.297617	1.560087
-40.272612	1.568019
-40.247606	1.575807
-40.222601	1.583596
-40.197596	1.591387
-40.172590	1.599177
-40.147585	1.607012
-40.122579	1.615266
-40.097574	1.623568
-40.072569	1.631919
-40.047563	1.640319
-40.022558	1.648769
-39.997552	1.657267
-39.972547	1.665814
-39.947542	1.674411
-39.922536	1.683057
-39.897531	1.691800
-39.872525	1.700595
-39.847520	1.709440
-39.822514	1.718337
-39.797509	1.727284
-39.772504	1.736263
-39.747498	1.745284
-39.722493	1.754348
-39.697487	1.763454
-39.672482	1.772603
-39.647477	1.781795
-39.622471	1.791029
-39.597466	1.800305
-39.572460	1.809624
-39.547455	1.818972
-39.522450	1.828367
-39.497444	1.837812
-39.472439	1.847306
-39.447433	1.856850
-39.422428	1.866190
-39.397423	1.875555
-39.372417	1.884962
-39.347412	1.894413
-39.322406	1.903908
-39.297401	1.913446
-39.272396	1.923027
-39.247390	1.932652
-39.222385	1.942321
-39.197379	1.951861
-39.172374	1.961350
-39.147368	1.970889
-39.122363	1.980478
-39.097358	1.990117
-39.072352	2.000379
-39.047347	2.010793
-39.022341	2.021249
-38.997336	2.031748
-38.972331	2.042289
-38.947325	2.052872
-38.922320	2.063498
-38.897314	2.074167
-38.872309	2.084878
-38.847304	2.095641
-38.822298	2.106470
-38.797293	2.117355
-38.772287	2.128296
-38.747282	2.139294
-38.722277	2.150164
-38.697271	2.161020
-38.672266	2.171919
-38.647260	2.182861
-38.622255	2.193847
-38.597249	2.204876
-38.572244	2.215949
-38.547239	2.227065
-38.522233	2.238224
-38.497228	2.249414
-38.472222	2.260609
-38.447217	2.271847
-38.422212	2.283127
-38.397206	2.294450
-38.372201	2.306411
-38.347195	2.318682
-38.322190	2.330967
-38.297185	2.343265
-38.272179	2.355576
-38.247174	2.367900
-38.222168	2.380238
-38.197163	2.392588
-38.172158	2.404952
-38.147152	2.417336
-38.122147	2.429898
-38.097141	2.442553
-38.072136	2.455300
-38.047130	2.468140
-38.022125	2.481177
-37.997120	2.494343
-37.972114	2.507551
-37.947109	2.520801
-37.922103	2.534094
-37.897098	2.547430
-37.872093	2.560808
-37.847087	2.574228
-37.822082	2.587691
-37.797076	2.601197
-37.772071	2.614552
-37.747066	2.627879
-37.722060	2.641207
-37.697055	2.654534
-37.672049	2.667428
-37.647044	2.679928
-37.622039	2.692484
-37.597033	2.705095
-37.572028	2.717762
-37.547022	2.730484
-37.522017	2.743262
-37.497012	2.756095
-37.472006	2.768984
-37.447001	2.781929
-37.421995	2.795120
-37.396990	2.808453
-37.371984	2.821829
-37.346979	2.835248
-37.321974	2.849100
-37.296968	2.863526
-37.271963	2.877965
-37.246957	2.892418
-37.221952	2.906883
-37.196947	2.921362
-37.171941	2.935854
-37.146936	2.950359
-37.121930	2.964878
-37.096925	2.979409
-37.071920	2.993850
-37.046914	3.008236
-37.021909	3.022701
-36.996903	3.037246
-36.971898	3.051919
-36.946893	3.066752
-36.921887	3.081634
