Patient Name: FANTOMARW3, 
Patient ID: 15072016
Plan: PDD_Eq4
Course: C1
Date: Thursday, July 21, 2016 5:41:05 PM
Exported by: laldrovandi

Start: (0.01, 0.03, 0.00)
End:   (0.00, 33.86, 0.00)

	4x4	10x10	20x20	40x40	4x4w15	10x10w15	40x30w15	4x4w30	10x10w30	40x30w30	4x4w45	10x10w45	40x20w45	4x4w60	10x10w60	40x15w60	Total
0.000000	29.952351	33.673195	40.392706	47.223580	25.397094	28.739949	43.706445	24.472168	28.988863	43.594466	30.533786	32.592286	40.535116	29.462570	34.246954	41.955954	555.467481
0.025006	34.821470	39.123867	46.892637	54.791434	29.545255	33.409179	50.710077	28.466055	33.689130	50.580093	35.477043	37.856468	47.041372	34.240440	39.774521	48.693750	645.112791
0.050012	39.690590	44.574540	53.392568	62.359288	33.693418	38.078411	57.713712	32.459944	38.389401	57.565723	40.420305	43.120654	53.547633	39.018320	45.302097	55.431554	734.758157
0.075018	44.559709	50.025212	59.892499	69.927142	37.841582	42.747644	64.717348	36.453837	43.089674	64.551356	45.363572	48.384845	60.053898	43.796209	50.829682	62.169368	824.403577
0.100025	49.428828	55.475885	66.392430	77.494996	41.989748	47.416879	71.720986	40.447732	47.789950	71.536992	50.306844	53.649040	66.560168	48.574106	56.357276	68.907191	914.049051
0.125031	52.026667	57.750604	68.054559	78.562460	44.829176	49.935299	72.821900	43.208283	50.154438	72.643689	52.561284	55.708328	67.906675	50.970680	58.367200	70.316384	945.817626
0.150037	54.551779	59.923629	69.561783	79.421782	47.626699	52.384852	73.733809	45.929344	52.444136	73.562144	54.729629	57.664997	69.087968	53.291008	60.264492	71.554958	975.733008
0.175043	57.076891	62.096654	71.069006	80.281103	50.424223	54.834405	74.645719	48.650407	54.733835	74.480599	56.897977	59.621668	70.269263	55.611340	62.161788	72.793535	1005.648413
0.200049	59.602002	64.269680	72.576229	81.140425	53.221748	57.283959	75.557629	51.371471	57.023537	75.399055	59.066326	61.578341	71.450560	57.931677	64.059088	74.032116	1035.563842
0.225055	62.127114	66.442705	74.083452	81.999747	56.019274	59.733514	76.469540	54.092538	59.313240	76.317513	61.234678	63.535016	72.631858	60.252017	65.956392	75.270699	1065.479295
0.250062	64.652226	68.615730	75.590675	82.859068	58.816801	62.183069	77.381451	56.813606	61.602944	77.235971	63.403032	65.491692	73.813157	62.572363	67.853700	76.509285	1095.394772
0.275068	67.177338	70.788755	77.097898	83.718390	61.614329	64.632626	78.293363	59.534677	63.892650	78.154431	65.571388	67.448371	74.994458	64.892712	69.751012	77.747874	1125.310273
0.300074	69.702450	72.961781	78.605121	84.577712	64.411858	67.082183	79.205275	62.255749	66.182358	79.072891	67.739745	69.405052	76.175760	67.213066	71.648328	78.986467	1155.225797
0.325080	72.227562	75.134806	80.112345	85.437033	67.209388	69.531742	80.117187	64.976823	68.472068	79.991353	69.908105	71.361735	77.357064	69.533423	73.545648	80.225063	1185.141345
0.350086	74.752674	77.307831	81.619568	86.296355	70.006919	71.981301	81.029100	67.697898	70.761779	80.909815	72.076467	73.318420	78.538370	71.853786	75.442972	81.463661	1215.056916
0.375092	76.124702	78.540138	82.608152	87.023723	71.581524	73.436947	81.952458	69.349105	72.241940	81.834470	73.506522	74.667928	79.579517	73.316962	76.715342	82.419846	1234.899275
0.400099	77.462825	79.744785	83.581488	87.747211	73.120171	74.863369	82.876152	70.968854	73.698298	82.759308	74.914868	75.999584	80.616544	74.754935	77.969338	83.367729	1254.445459
0.425105	78.800948	80.949431	84.554823	88.470699	74.658819	76.289792	83.799846	72.588605	75.154656	83.684146	76.323216	77.331241	81.653571	76.192911	79.223335	84.315613	1273.991653
0.450111	80.139072	82.154078	85.528158	89.194187	76.197466	77.716215	84.723541	74.208356	76.611016	84.608984	77.731565	78.662899	82.690600	77.630888	80.477335	85.263499	1293.537860
