Patient Name: FANTOMARW3, 
Patient ID: 15072016
Plan: Perf Fot Eq4
Course: C1
Date: Thursday, July 21, 2016 6:33:23 PM
Exported by: laldrovandi

Start: (-25.01, 10.00, 0.00)
End:   (25.00, 10.00, 0.00)

	10x10	40x40	10x10w15	30x30w15	10x10w30	30x30w30	10x10w45	20x20w45	10x10w60	15x15w60	Total
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.025005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.050010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.075014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.100019	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.125024	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.150029	0.000000	7.687070	0.000000	4.460367	0.000000	5.826070	0.000000	0.000000	0.000000	0.000000	17.973506
0.175034	0.000000	7.727681	0.000000	4.473522	0.000000	5.841538	0.000000	0.000000	0.000000	0.000000	18.042740
0.200039	0.000000	7.768292	0.000000	4.486677	0.000000	5.857005	0.000000	0.000000	0.000000	0.000000	18.111974
0.225043	0.000000	7.808903	0.000000	4.499832	0.000000	5.872473	0.000000	0.000000	0.000000	0.000000	18.181209
0.250048	0.000000	7.849514	0.000000	4.512988	0.000000	5.887941	0.000000	0.000000	0.000000	0.000000	18.250443
0.275053	0.000000	7.890125	0.000000	4.526143	0.000000	5.903409	0.000000	0.000000	0.000000	0.000000	18.319677
0.300058	0.000000	7.930736	0.000000	4.539298	0.000000	5.918877	0.000000	0.000000	0.000000	0.000000	18.388911
0.325063	0.000000	7.971347	0.000000	4.552453	0.000000	5.934345	0.000000	0.000000	0.000000	0.000000	18.458145
0.350068	0.000000	8.011958	0.000000	4.565609	0.000000	5.949813	0.000000	0.000000	0.000000	0.000000	18.527379
0.375072	0.000000	8.052569	0.000000	4.578764	0.000000	5.965281	0.000000	0.000000	0.000000	0.000000	18.596614
0.400077	0.000000	8.092576	0.000000	4.592100	0.000000	5.981349	0.000000	0.175162	0.000000	0.000000	18.841187
0.425082	0.000000	8.132430	0.000000	4.605482	0.000000	5.997570	0.000000	0.394863	0.000000	0.000000	19.130345
0.450087	0.000000	8.172284	0.000000	4.618864	0.000000	6.013791	0.000000	0.614564	0.000000	0.000000	19.419504
0.475092	0.000000	8.212138	0.000000	4.632247	0.000000	6.030012	0.000000	0.834265	0.000000	0.000000	19.708662
0.500096	0.000000	8.251991	0.000000	4.645629	0.000000	6.046233	0.000000	1.053966	0.000000	0.000000	19.997820
0.525101	0.000000	8.291845	0.000000	4.659011	0.000000	6.062454	0.000000	1.273668	0.000000	0.000000	20.286978
0.550106	0.000000	8.331699	0.000000	4.672393	0.000000	6.078676	0.000000	1.493369	0.000000	0.000000	20.576136
0.575111	0.000000	8.371552	0.000000	4.685775	0.000000	6.094897	0.000000	1.713070	0.000000	0.000000	20.865294
0.600116	0.000000	8.411406	0.000000	4.699158	0.000000	6.111118	0.000000	1.932771	0.000000	0.000000	21.154452
0.625121	0.000000	8.451260	0.000000	4.712540	0.000000	6.127339	0.000000	2.152472	0.000000	0.000000	21.443610
0.650125	0.000000	8.493735	0.000000	4.726727	0.000000	6.144209	0.000000	2.200178	0.000000	0.000000	21.564850
0.675130	0.000000	8.536869	0.000000	4.741115	0.000000	6.161243	0.000000	2.204671	0.000000	0.000000	21.643899
0.700135	0.000000	8.580004	0.000000	4.755504	0.000000	6.178277	0.000000	2.209164	0.000000	0.000000	21.722949
0.725140	0.000000	8.623138	0.000000	4.769893	0.000000	6.195310	0.000000	2.213658	0.000000	0.000000	21.801999
0.750145	0.000000	8.666272	0.000000	4.784282	0.000000	6.212344	0.000000	2.218151	0.000000	0.000000	21.881049
0.775149	0.000000	8.709407	0.000000	4.798670	0.000000	6.229378	0.000000	2.222644	0.000000	0.000000	21.960099
0.800154	0.000000	8.752541	0.000000	4.813059	0.000000	6.246411	0.000000	2.227137	0.000000	0.000000	22.039148
0.825159	0.000000	8.795675	0.000000	4.827448	0.000000	6.263445	0.000000	2.231630	0.000000	0.000000	22.118198
0.850164	0.000000	8.838810	0.000000	4.841837	0.000000	6.280479	0.000000	2.236123	0.000000	0.000000	22.197248
0.875169	0.000000	8.881944	0.000000	4.856226	0.000000	6.297513	0.000000	2.240616	0.000000	0.000000	22.276298
0.900174	0.000000	8.926782	0.000000	4.871375	0.000000	6.315513	0.000000	2.246242	0.000000	0.000000	22.359912
0.925178	0.000000	8.972043	0.000000	4.886714	0.000000	6.333753	0.000000	2.252150	0.000000	0.000000	22.444660
0.950183	0.000000	9.017303	0.000000	4.902053	0.000000	6.351993	0.000000	2.258058	0.000000	0.000000	22.529408
