Patient Name: FANTOMARW3, 
Patient ID: 15072016
Plan: Perf Fot Eq4
Course: C1
Date: Thursday, July 21, 2016 6:35:36 PM
Exported by: laldrovandi

Start: (-25.00, 20.00, -0.75)
End:   (25.00, 20.00, -0.75)

	10x10	40x40	10x10w15	30x30w15	10x10w30	30x30w30	10x10w45	20x20w45	10x10w60	15x15w60	Total
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.025000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.050000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.075000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.100000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.125001	0.000000	9.817555	0.000000	4.481099	0.000000	5.611892	0.000000	1.803784	0.000000	0.000000	21.714329
0.150001	0.000000	9.893469	0.000000	4.493912	0.000000	5.627156	0.000000	1.808519	0.000000	0.000000	21.823056
0.175001	0.000000	9.969382	0.000000	4.506726	0.000000	5.642421	0.000000	1.813254	0.000000	0.000000	21.931783
0.200001	0.000000	10.045295	0.000000	4.519540	0.000000	5.657686	0.000000	1.817989	0.000000	0.000000	22.040510
0.225001	0.000000	10.121208	0.000000	4.532353	0.000000	5.672950	0.000000	1.822725	0.000000	0.000000	22.149236
0.250001	0.000000	10.197121	0.000000	4.545167	0.000000	5.688215	0.000000	1.827460	0.000000	0.000000	22.257963
0.275001	0.000000	10.273033	0.000000	4.557981	0.000000	5.703480	0.000000	1.832195	0.000000	0.000000	22.366689
0.300001	0.000000	10.348945	0.000000	4.570795	0.000000	5.718745	0.000000	1.836930	0.000000	0.000000	22.475415
0.325001	0.000000	10.424857	0.000000	4.583609	0.000000	5.734010	0.000000	1.841665	0.000000	0.000000	22.584141
