Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 2:42:33 PM
Exported by: paberbuj

Start: (-29.79, -27.56, -29.57)
End:   (30.02, -27.56, 29.79)

	Campo 1
-42.148017	0.846356
-42.123012	0.855794
-42.098007	0.864293
-42.073001	0.871853
-42.047996	0.878057
-42.022990	0.881897
-41.997985	0.885753
-41.972980	0.889622
-41.947974	0.893507
-41.922969	0.897405
-41.897963	0.901461
-41.872958	0.905676
-41.847953	0.909925
-41.822947	0.914211
-41.797942	0.918532
-41.772936	0.922888
-41.747931	0.927280
-41.722926	0.931707
-41.697920	0.936171
-41.672915	0.940715
-41.647909	0.945274
-41.622904	0.949848
-41.597898	0.954436
-41.572893	0.959038
-41.547888	0.963544
-41.522882	0.967950
-41.497877	0.972405
-41.472871	0.976910
-41.447866	0.981464
-41.422861	0.986067
-41.397855	0.990719
-41.372850	0.995421
-41.347844	1.000172
-41.322839	1.005001
-41.297834	1.009875
-41.272828	1.014785
-41.247823	1.019730
-41.222817	1.024712
-41.197812	1.029908
-41.172807	1.035470
-41.147801	1.041081
-41.122796	1.046742
-41.097790	1.052452
-41.072785	1.058211
-41.047780	1.064019
-41.022774	1.069877
-40.997769	1.075784
-40.972763	1.081760
-40.947758	1.087787
-40.922752	1.093850
-40.897747	1.099948
-40.872742	1.106082
-40.847736	1.112198
-40.822731	1.118180
-40.797725	1.124162
-40.772720	1.130145
-40.747715	1.136127
-40.722709	1.142109
-40.697704	1.148092
-40.672698	1.154074
-40.647693	1.160056
-40.622688	1.166105
-40.597682	1.172277
-40.572677	1.178485
-40.547671	1.184728
-40.522666	1.191006
-40.497661	1.197394
-40.472655	1.204128
-40.447650	1.210877
-40.422644	1.217639
-40.397639	1.224417
-40.372633	1.231209
-40.347628	1.238015
-40.322623	1.244836
-40.297617	1.251671
-40.272612	1.258510
-40.247606	1.265334
-40.222601	1.272195
-40.197596	1.279092
-40.172590	1.286024
-40.147585	1.293036
-40.122579	1.300472
-40.097574	1.307923
-40.072569	1.315388
-40.047563	1.322867
-40.022558	1.330361
-39.997552	1.337869
-39.972547	1.345392
-39.947542	1.352930
-39.922536	1.360485
-39.897531	1.368255
-39.872525	1.376012
-39.847520	1.383755
-39.822514	1.391485
-39.797509	1.399199
-39.772504	1.406782
-39.747498	1.414379
-39.722493	1.421990
-39.697487	1.429616
-39.672482	1.437255
-39.647477	1.444909
-39.622471	1.452577
-39.597466	1.460259
-39.572460	1.467955
-39.547455	1.475892
-39.522450	1.483923
-39.497444	1.492005
-39.472439	1.500137
-39.447433	1.508319
-39.422428	1.517074
-39.397423	1.525872
-39.372417	1.534669
-39.347412	1.543467
-39.322406	1.552265
-39.297401	1.561063
-39.272396	1.569861
-39.247390	1.578659
-39.222385	1.587457
-39.197379	1.596190
-39.172374	1.604926
-39.147368	1.613711
-39.122363	1.622545
-39.097358	1.631428
-39.072352	1.640744
-39.047347	1.650182
-39.022341	1.659669
-38.997336	1.669205
-38.972331	1.678791
-38.947325	1.688426
-38.922320	1.698110
-38.897314	1.707843
-38.872309	1.717626
-38.847304	1.727473
-38.822298	1.737379
-38.797293	1.747321
-38.772287	1.757297
-38.747282	1.767310
-38.722277	1.777429
-38.697271	1.787587
-38.672266	1.797759
-38.647260	1.807946
-38.622255	1.818147
-38.597249	1.828362
-38.572244	1.838591
-38.547239	1.848834
-38.522233	1.859092
-38.497228	1.869389
-38.472222	1.879793
-38.447217	1.890232
-38.422212	1.900706
-38.397206	1.911216
-38.372201	1.921963
-38.347195	1.932826
-38.322190	1.943704
-38.297185	1.954596
-38.272179	1.965503
-38.247174	1.976424
-38.222168	1.987360
-38.197163	1.998310
-38.172158	2.009274
-38.147152	2.020253
-38.122147	2.031259
-38.097141	2.042328
-38.072136	2.053461
-38.047130	2.064658
-38.022125	2.075873
-37.997120	2.087099
-37.972114	2.098362
-37.947109	2.109660
-37.922103	2.120995
-37.897098	2.132366
-37.872093	2.143773
-37.847087	2.155217
-37.822082	2.166697
-37.797076	2.178213
-37.772071	2.189743
-37.747066	2.201318
-37.722060	2.212942
-37.697055	2.224615
-37.672049	2.236514
-37.647044	2.248640
-37.622039	2.260815
-37.597033	2.273040
-37.572028	2.285314
-37.547022	2.297639
-37.522017	2.310013
-37.497012	2.322436
-37.472006	2.334910
-37.447001	2.347433
-37.421995	2.359874
-37.396990	2.372226
-37.371984	2.384543
-37.346979	2.396824
-37.321974	2.409165
-37.296968	2.421678
-37.271963	2.434254
-37.246957	2.446895
-37.221952	2.459601
-37.196947	2.472371
-37.171941	2.485206
-37.146936	2.498105
-37.121930	2.511069
-37.096925	2.524097
-37.071920	2.537254
-37.046914	2.550554
-37.021909	2.563923
-36.996903	2.577363
-36.971898	2.590766
-36.946893	2.603981
-36.921887	2.617210
-36.896882	2.630454
-36.871876	2.643713
-36.846871	2.656986
-36.821865	2.670273
-36.796860	2.683575
-36.771855	2.696892
-36.746849	2.710223
-36.721844	2.723548
-36.696838	2.736860
-36.671833	2.750221
-36.646828	2.763631
-36.621822	2.777200
-36.596817	2.791161
-36.571811	2.805173
-36.546806	2.819234
-36.521801	2.833345
-36.496795	2.847507
-36.471790	2.861719
-36.446784	2.875980
-36.421779	2.890292
-36.396774	2.904653
-36.371768	2.919049
-36.346763	2.933313
-36.321757	2.947591
-36.296752	2.961883
-36.271746	2.976294
-36.246741	2.991312
-36.221736	3.006379
-36.196730	3.021495
-36.171725	3.036661
-36.146719	3.051875
-36.121714	3.067140
-36.096709	3.082453
-36.071703	3.097816
-36.046698	3.113228
-36.021692	3.128689
-35.996687	3.144042
-35.971682	3.159413
-35.946676	3.174818
-35.921671	3.190220
-35.896665	3.205126
-35.871660	3.220060
-35.846655	3.235022
-35.821649	3.250012
-35.796644	3.265031
-35.771638	3.280077
-35.746633	3.295152
-35.721628	3.310255
-35.696622	3.325387
-35.671617	3.340546
-35.646611	3.355795
-35.621606	3.371135
-35.596600	3.386545
-35.571595	3.402026
-35.546590	3.417449
-35.521584	3.432885
-35.496579	3.448333
-35.471573	3.463796
-35.446568	3.479272
-35.421563	3.494763
-35.396557	3.510266
-35.371552	3.525784
-35.346546	3.541316
-35.321541	3.556861
-35.296536	3.572531
-35.271530	3.588387
-35.246525	3.604344
-35.221519	3.620399
-35.196514	3.636909
-35.171509	3.653511
-35.146503	3.670162
-35.121498	3.686863
-35.096492	3.703614
-35.071487	3.720415
-35.046481	3.737266
-35.021476	3.754166
-34.996471	3.771116
-34.971465	3.788116
-34.946460	3.805104
-34.921454	3.821988
-34.896449	3.838887
-34.871444	3.855799
-34.846438	3.872440
-34.821433	3.889093
-34.796427	3.905831
-34.771422	3.922653
-34.746417	3.939561
-34.721411	3.956553
-34.696406	3.973630
-34.671400	3.990792
-34.646395	4.008039
-34.621390	4.025370
-34.596384	4.042794
-34.571379	4.060336
-34.546373	4.077927
-34.521368	4.095570
-34.496362	4.113906
-34.471357	4.132504
-34.446352	4.151117
-34.421346	4.169744
-34.396341	4.188385
-34.371335	4.207041
-34.346330	4.225712
-34.321325	4.244397
-34.296319	4.263096
-34.271314	4.281810
-34.246308	4.300538
-34.221303	4.319664
-34.196298	4.338901
-34.171292	4.358225
-34.146287	4.377475
-34.121281	4.396664
-34.096276	4.415867
-34.071271	4.435085
-34.046265	4.454317
-34.021260	4.473563
-33.996254	4.492824
-33.971249	4.512100
-33.946244	4.531390
-33.921238	4.550694
-33.896233	4.570013
-33.871227	4.589283
-33.846222	4.608605
-33.821216	4.628014
-33.796211	4.647267
-33.771206	4.666334
-33.746200	4.685387
-33.721195	4.704426
-33.696189	4.723450
-33.671184	4.742460
-33.646179	4.761455
-33.621173	4.780435
-33.596168	4.799402
-33.571162	4.818353
-33.546157	4.837291
-33.521152	4.856215
-33.496146	4.875186
-33.471141	4.894221
-33.446135	4.913594
-33.421130	4.933327
-33.396125	4.953109
-33.371119	4.972940
-33.346114	4.992820
-33.321108	5.012750
-33.296103	5.032728
-33.271097	5.052755
-33.246092	5.072831
-33.221087	5.092957
-33.196081	5.113131
-33.171076	5.133256
-33.146070	5.153214
-33.121065	5.173172
-33.096060	5.192734
-33.071054	5.211725
-33.046049	5.230815
-33.021043	5.250005
-32.996038	5.269294
-32.971033	5.288682
-32.946027	5.308170
-32.921022	5.327757
-32.896016	5.347443
-32.871011	5.367228
-32.846006	5.387113
-32.821000	5.407108
-32.795995	5.427228
-32.770989	5.447398
-32.745984	5.467959
-32.720978	5.489357
-32.695973	5.510769
-32.670968	5.532196
-32.645962	5.553637
-32.620957	5.575093
-32.595951	5.596563
-32.570946	5.618048
-32.545941	5.639547
-32.520935	5.661061
-32.495930	5.682589
-32.470924	5.704132
-32.445919	5.725646
-32.420914	5.747222
-32.395908	5.768831
-32.370903	5.790373
-32.345897	5.811950
-32.320892	5.833563
-32.295887	5.855212
-32.270881	5.876896
-32.245876	5.898615
-32.220870	5.920370
-32.195865	5.942161
-32.170860	5.963987
-32.145854	5.985849
-32.120849	6.007746
-32.095843	6.029929
-32.070838	6.052246
-32.045832	6.074488
-32.020827	6.095822
-31.995822	6.117221
-31.970816	6.138684
-31.945811	6.160212
-31.920805	6.181804
-31.895800	6.203461
-31.870795	6.225183
-31.845789	6.246968
-31.820784	6.268819
-31.795778	6.290734
-31.770773	6.312713
-31.745768	6.334762
-31.720762	6.356868
-31.695757	6.379089
-31.670751	6.402947
-31.645746	6.426906
-31.620741	6.450965
-31.595735	6.475124
-31.570730	6.499383
-31.545724	6.523743
-31.520719	6.548202
-31.495713	6.572761
-31.470708	6.597420
-31.445703	6.622179
-31.420697	6.647039
-31.395692	6.671978
-31.370686	6.696950
-31.345681	6.721972
-31.320676	6.746601
-31.295670	6.771259
-31.270665	6.795967
-31.245659	6.820726
-31.220654	6.845534
-31.195649	6.870394
-31.170643	6.895303
-31.145638	6.920263
-31.120632	6.945273
-31.095627	6.970334
-31.070622	6.995445
-31.045616	7.020604
-31.020611	7.045864
-30.995605	7.071272
-30.970600	7.095337
-30.945594	7.119231
-30.920589	7.143177
-30.895584	7.167174
-30.870578	7.191221
-30.845573	7.215320
-30.820567	7.239470
-30.795562	7.263671
-30.770557	7.287923
-30.745551	7.312225
-30.720546	7.336579
-30.695540	7.360984
-30.670535	7.384849
-30.645530	7.408742
-30.620524	7.433589
-30.595519	7.458862
-30.570513	7.484319
-30.545508	7.509961
-30.520503	7.535788
-30.495497	7.561800
-30.470492	7.587997
-30.445486	7.614379
-30.420481	7.640945
-30.395476	7.667697
-30.370470	7.694633
-30.345465	7.721754
-30.320459	7.748838
-30.295454	7.775945
-30.270448	7.801390
-30.245443	7.826232
-30.220438	7.851238
-30.195432	7.876407
-30.170427	7.901741
-30.145421	7.927238
-30.120416	7.952899
-30.095411	7.978724
-30.070405	8.004713
-30.045400	8.030866
-30.020394	8.057182
-29.995389	8.083662
-29.970384	8.110465
-29.945378	8.137519
-29.920373	8.165873
-29.895367	8.195093
-29.870362	8.224441
-29.845357	8.253918
-29.820351	8.283524
-29.795346	8.313259
-29.770340	8.343122
-29.745335	8.373114
-29.720329	8.403235
-29.695324	8.433484
-29.670319	8.463862
-29.645313	8.494369
-29.620308	8.525442
-29.595302	8.557351
-29.570297	8.590538
-29.545292	8.625159
-29.520286	8.660385
-29.495281	8.696216
-29.470275	8.732653
-29.445270	8.769695
-29.420265	8.807342
-29.395259	8.845594
-29.370254	8.884452
-29.345248	8.923915
-29.320243	8.963983
-29.295238	9.004656
-29.270232	9.046587
-29.245227	9.091486
-29.220221	9.143177
-29.195216	9.205722
-29.170210	9.272470
-29.145205	9.343419
-29.120200	9.418570
-29.095194	9.497923
-29.070189	9.581477
-29.045183	9.669234
-29.020178	9.761192
-28.995173	9.857352
-28.970167	9.957715
-28.945162	10.062279
-28.920156	10.171661
-28.895151	10.303400
-28.870146	10.447470
-28.845140	10.608012
-28.820135	10.773697
-28.795129	10.944525
-28.770124	11.120495
-28.745119	11.301607
-28.720113	11.487862
-28.695108	11.679260
-28.670102	11.875800
-28.645097	12.077482
-28.620092	12.284307
-28.595086	12.496274
-28.570081	12.713384
-28.545075	12.944434
-28.520070	13.181457
-28.495064	13.422389
-28.470059	13.663861
-28.445054	13.905870
-28.420048	14.148419
-28.395043	14.391506
-28.370037	14.635132
-28.345032	14.879296
-28.320027	15.124000
-28.295021	15.369241
-28.270016	15.615022
-28.245010	15.861341
-28.220005	16.108199
-28.195000	16.349851
-28.169994	16.586284
-28.144989	16.813591
-28.119983	17.040330
-28.094978	17.266499
-28.069973	17.492100
-28.044967	17.717133
-28.019962	17.941597
-27.994956	18.165492
-27.969951	18.388819
-27.944945	18.611577
-27.919940	18.833767
-27.894935	19.055388
-27.869929	19.276441
-27.844924	19.494203
-27.819918	19.707781
-27.794913	19.915230
-27.769908	20.122815
-27.744902	20.330534
-27.719897	20.538389
-27.694891	20.746379
-27.669886	20.954504
-27.644881	21.162765
-27.619875	21.371160
-27.594870	21.579691
-27.569864	21.788357
-27.544859	21.997158
-27.519854	22.206094
-27.494848	22.413639
-27.469843	22.616694
-27.444837	22.811714
-27.419832	23.006360
-27.394826	23.200630
-27.369821	23.394526
-27.344816	23.588046
-27.319810	23.781191
-27.294805	23.973961
-27.269799	24.166356
-27.244794	24.358376
-27.219789	24.550021
-27.194783	24.741291
-27.169778	24.932185
-27.144772	25.122607
-27.119767	25.311751
-27.094762	25.501197
-27.069756	25.691453
-27.044751	25.882542
-27.019745	26.074462
-26.994740	26.267215
-26.969735	26.460800
-26.944729	26.655217
-26.919724	26.850466
-26.894718	27.046547
-26.869713	27.243460
-26.844708	27.441206
-26.819702	27.639784
-26.794697	27.839193
-26.769691	28.047504
-26.744686	28.269766
-26.719680	28.498707
-26.694675	28.732434
-26.669670	28.970947
-26.644664	29.214246
-26.619659	29.462332
-26.594653	29.715204
-26.569648	29.972861
-26.544643	30.235305
-26.519637	30.502536
-26.494632	30.774552
-26.469626	31.051355
-26.444621	31.332943
-26.419616	31.661218
-26.394610	32.070094
-26.369605	32.513205
-26.344599	32.974319
-26.319594	33.453437
-26.294589	33.950559
-26.269583	34.465683
-26.244578	34.998811
-26.219572	35.549942
-26.194567	36.119077
-26.169561	36.706215
-26.144556	37.311356
-26.119551	37.934501
-26.094545	38.575649
-26.069540	39.324810
-26.044534	40.325095
-26.019529	41.428041
-25.994524	42.568960
-25.969518	43.747853
-25.944513	44.964719
-25.919507	46.219558
-25.894502	47.512371
-25.869497	48.843156
-25.844491	50.211915
-25.819486	51.618648
-25.794480	53.063353
