Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 2:49:08 PM
Exported by: paberbuj

Start: (-29.79, -28.61, 0.00)
End:   (30.24, -28.61, -0.23)

	40x40	20x20	10x10	Total
-30.029627	2.827057	0.000000	0.000000	2.827057
-30.004622	2.839631	0.000000	0.000000	2.839631
-29.979616	2.852205	0.000000	0.000000	2.852205
-29.954611	2.864779	0.000000	0.000000	2.864779
-29.929606	2.877354	0.000000	0.000000	2.877354
-29.904600	2.889930	0.000000	0.000000	2.889930
-29.879595	2.902505	0.000000	0.000000	2.902505
-29.854589	2.916136	0.000000	0.000000	2.916136
-29.829584	2.932514	0.000000	0.000000	2.932514
-29.804578	2.948892	0.000000	0.000000	2.948892
-29.779573	2.965270	0.000000	0.000000	2.965270
-29.754568	2.981648	0.000000	0.000000	2.981648
-29.729562	2.998025	0.000000	0.000000	2.998025
-29.704557	3.014402	0.000000	0.000000	3.014402
-29.679551	3.030779	0.000000	0.000000	3.030779
-29.654546	3.047155	0.000000	0.000000	3.047155
-29.629540	3.063531	0.000000	0.000000	3.063531
-29.604535	3.080196	0.000000	0.000000	3.080196
-29.579530	3.097609	0.000000	0.000000	3.097609
-29.554524	3.115022	0.000000	0.000000	3.115022
-29.529519	3.132435	0.000000	0.000000	3.132435
-29.504513	3.149848	0.000000	0.000000	3.149848
-29.479508	3.167260	0.000000	0.000000	3.167260
-29.454502	3.184673	0.000000	0.000000	3.184673
-29.429497	3.202086	0.000000	0.000000	3.202086
-29.404491	3.219498	0.000000	0.000000	3.219498
-29.379486	3.236911	0.000000	0.000000	3.236911
-29.354481	3.254862	0.000000	0.000000	3.254862
-29.329475	3.274186	0.000000	0.000000	3.274186
-29.304470	3.293510	0.000000	0.000000	3.293510
-29.279464	3.312834	0.000000	0.000000	3.312834
-29.254459	3.332158	0.000000	0.000000	3.332158
-29.229453	3.351483	0.000000	0.000000	3.351483
-29.204448	3.370807	0.000000	0.000000	3.370807
-29.179443	3.390131	0.000000	0.000000	3.390131
-29.154437	3.409455	0.000000	0.000000	3.409455
-29.129432	3.428779	0.000000	0.000000	3.428779
-29.104426	3.447972	0.000000	0.000000	3.447972
-29.079421	3.466832	0.000000	0.000000	3.466832
-29.054415	3.485692	0.000000	0.000000	3.485692
-29.029410	3.504551	0.000000	0.000000	3.504551
-29.004405	3.523411	0.000000	0.000000	3.523411
-28.979399	3.542271	0.000000	0.000000	3.542271
-28.954394	3.561131	0.000000	0.000000	3.561131
-28.929388	3.579991	0.000000	0.000000	3.579991
-28.904383	3.598851	0.000000	0.000000	3.598851
-28.879377	3.617711	0.000000	0.000000	3.617711
-28.854372	3.636441	0.000000	0.000000	3.636441
-28.829367	3.654844	0.000000	0.000000	3.654844
-28.804361	3.673248	0.000000	0.000000	3.673248
-28.779356	3.691651	0.000000	0.000000	3.691651
-28.754350	3.710054	0.000000	0.000000	3.710054
-28.729345	3.728458	0.000000	0.000000	3.728458
-28.704339	3.746861	0.000000	0.000000	3.746861
-28.679334	3.765264	0.000000	0.000000	3.765264
-28.654329	3.783668	0.000000	0.000000	3.783668
-28.629323	3.802071	0.000000	0.000000	3.802071
-28.604318	3.821044	0.000000	0.000000	3.821044
-28.579312	3.841430	0.000000	0.000000	3.841430
-28.554307	3.861815	0.000000	0.000000	3.861815
-28.529301	3.882200	0.000000	0.000000	3.882200
-28.504296	3.902585	0.000000	0.000000	3.902585
-28.479291	3.922970	0.000000	0.000000	3.922970
-28.454285	3.943355	0.000000	0.000000	3.943355
-28.429280	3.963740	0.000000	0.000000	3.963740
-28.404274	3.984125	0.000000	0.000000	3.984125
-28.379269	4.004511	0.000000	0.000000	4.004511
-28.354263	4.025178	0.000000	0.000000	4.025178
-28.329258	4.046539	0.000000	0.000000	4.046539
-28.304252	4.067899	0.000000	0.000000	4.067899
-28.279247	4.089260	0.000000	0.000000	4.089260
-28.254242	4.110622	0.000000	0.000000	4.110622
-28.229236	4.131983	0.000000	0.000000	4.131983
-28.204231	4.153345	0.000000	0.000000	4.153345
-28.179225	4.174708	0.000000	0.000000	4.174708
-28.154220	4.196070	0.000000	0.000000	4.196070
-28.129214	4.217433	0.000000	0.000000	4.217433
-28.104209	4.238939	0.000000	0.000000	4.238939
-28.079204	4.260790	0.000000	0.000000	4.260790
-28.054198	4.282641	0.000000	0.000000	4.282641
-28.029193	4.304492	0.000000	0.000000	4.304492
-28.004187	4.326343	0.000000	0.000000	4.326343
-27.979182	4.348194	0.000000	0.000000	4.348194
-27.954176	4.370045	0.000000	0.000000	4.370045
-27.929171	4.391896	0.000000	0.000000	4.391896
-27.904166	4.413747	0.000000	0.000000	4.413747
-27.879160	4.435598	0.000000	0.000000	4.435598
-27.854155	4.457617	0.000000	0.000000	4.457617
-27.829149	4.480040	0.000000	0.000000	4.480040
-27.804144	4.502462	0.000000	0.000000	4.502462
-27.779138	4.524885	0.000000	0.000000	4.524885
-27.754133	4.547308	0.000000	0.000000	4.547308
-27.729128	4.569730	0.000000	0.000000	4.569730
-27.704122	4.592153	0.000000	0.000000	4.592153
-27.679117	4.614576	0.000000	0.000000	4.614576
-27.654111	4.636999	0.000000	0.000000	4.636999
-27.629106	4.659421	0.000000	0.000000	4.659421
-27.604100	4.682999	0.000000	0.000000	4.682999
-27.579095	4.709320	0.000000	0.000000	4.709320
-27.554090	4.735641	0.000000	0.000000	4.735641
-27.529084	4.761962	0.000000	0.000000	4.761962
-27.504079	4.788283	0.000000	0.000000	4.788283
-27.479073	4.814604	0.000000	0.000000	4.814604
-27.454068	4.840925	0.000000	0.000000	4.840925
-27.429062	4.867246	0.000000	0.000000	4.867246
-27.404057	4.893567	0.000000	0.000000	4.893567
-27.379052	4.919888	0.000000	0.000000	4.919888
-27.354046	4.946479	0.000000	0.000000	4.946479
-27.329041	4.973703	0.000000	0.000000	4.973703
-27.304035	5.000927	0.000000	0.000000	5.000927
-27.279030	5.028150	0.000000	0.000000	5.028150
-27.254024	5.055373	0.000000	0.000000	5.055373
-27.229019	5.082596	0.000000	0.000000	5.082596
-27.204013	5.109818	0.000000	0.000000	5.109818
-27.179008	5.137040	0.000000	0.000000	5.137040
-27.154003	5.164261	0.000000	0.000000	5.164261
-27.128997	5.191483	0.000000	0.000000	5.191483
-27.103992	5.218436	0.000000	0.000000	5.218436
-27.078986	5.244765	0.000000	0.000000	5.244765
-27.053981	5.271095	0.000000	0.000000	5.271095
-27.028975	5.297424	0.000000	0.000000	5.297424
-27.003970	5.323754	0.000000	0.000000	5.323754
-26.978965	5.350084	0.000000	0.000000	5.350084
-26.953959	5.376413	0.000000	0.000000	5.376413
-26.928954	5.402743	0.000000	0.000000	5.402743
-26.903948	5.429072	0.000000	0.000000	5.429072
-26.878943	5.455402	0.000000	0.000000	5.455402
-26.853937	5.481467	0.000000	0.000000	5.481467
-26.828932	5.506924	0.000000	0.000000	5.506924
-26.803927	5.532382	0.000000	0.000000	5.532382
-26.778921	5.557840	0.000000	0.000000	5.557840
-26.753916	5.583298	0.000000	0.000000	5.583298
-26.728910	5.608757	0.000000	0.000000	5.608757
-26.703905	5.634216	0.000000	0.000000	5.634216
-26.678899	5.659675	0.000000	0.000000	5.659675
-26.653894	5.685135	0.000000	0.000000	5.685135
-26.628889	5.710594	0.000000	0.000000	5.710594
-26.603883	5.737215	0.000000	0.000000	5.737215
-26.578878	5.766486	0.000000	0.000000	5.766486
-26.553872	5.795756	0.000000	0.000000	5.795756
-26.528867	5.825026	0.000000	0.000000	5.825026
-26.503861	5.854297	0.000000	0.000000	5.854297
-26.478856	5.883567	0.000000	0.000000	5.883567
-26.453851	5.912837	0.000000	0.000000	5.912837
-26.428845	5.942108	0.000000	0.000000	5.942108
-26.403840	5.971378	0.000000	0.000000	5.971378
-26.378834	6.000649	0.000000	0.000000	6.000649
-26.353829	6.029922	0.000000	0.000000	6.029922
-26.328823	6.059199	0.000000	0.000000	6.059199
-26.303818	6.088477	0.000000	0.000000	6.088477
-26.278813	6.117755	0.000000	0.000000	6.117755
-26.253807	6.147032	0.000000	0.000000	6.147032
-26.228802	6.176310	0.000000	0.000000	6.176310
-26.203796	6.205587	0.000000	0.000000	6.205587
-26.178791	6.234865	0.000000	0.000000	6.234865
-26.153785	6.264142	0.000000	0.000000	6.264142
-26.128780	6.293420	0.000000	0.000000	6.293420
-26.103774	6.322705	0.000000	0.000000	6.322705
-26.078769	6.352006	0.000000	0.000000	6.352006
-26.053764	6.381307	0.000000	0.000000	6.381307
-26.028758	6.410608	0.000000	0.000000	6.410608
-26.003753	6.439909	0.000000	0.000000	6.439909
-25.978747	6.469210	0.000000	0.000000	6.469210
-25.953742	6.498511	0.000000	0.000000	6.498511
-25.928736	6.527813	0.000000	0.000000	6.527813
-25.903731	6.557114	0.000000	0.000000	6.557114
-25.878726	6.586415	0.000000	0.000000	6.586415
-25.853720	6.615441	0.000000	0.000000	6.615441
-25.828715	6.643858	0.000000	0.000000	6.643858
-25.803709	6.672275	0.000000	0.000000	6.672275
-25.778704	6.700693	0.000000	0.000000	6.700693
-25.753698	6.729111	0.000000	0.000000	6.729111
-25.728693	6.757529	0.000000	0.000000	6.757529
-25.703688	6.785948	0.000000	0.000000	6.785948
-25.678682	6.814367	0.000000	0.000000	6.814367
-25.653677	6.842787	0.000000	0.000000	6.842787
-25.628671	6.871207	0.000000	0.000000	6.871207
-25.603666	6.901143	0.000000	0.000000	6.901143
-25.578660	6.934404	0.000000	0.000000	6.934404
-25.553655	6.967665	0.000000	0.000000	6.967665
-25.528650	7.000926	0.000000	0.000000	7.000926
-25.503644	7.034186	0.000000	0.000000	7.034186
-25.478639	7.067446	0.000000	0.000000	7.067446
-25.453633	7.100705	0.000000	0.000000	7.100705
-25.428628	7.133964	0.000000	0.000000	7.133964
-25.403622	7.167223	0.000000	0.000000	7.167223
-25.378617	7.200481	0.000000	0.000000	7.200481
-25.353612	7.234048	0.000000	0.000000	7.234048
-25.328606	7.268288	0.000000	0.000000	7.268288
-25.303601	7.302528	0.000000	0.000000	7.302528
-25.278595	7.336768	0.000000	0.000000	7.336768
-25.253590	7.371008	0.000000	0.000000	7.371008
-25.228584	7.405247	0.000000	0.000000	7.405247
-25.203579	7.439487	0.000000	0.000000	7.439487
-25.178574	7.473727	0.000000	0.000000	7.473727
-25.153568	7.507967	0.000000	0.000000	7.507967
-25.128563	7.542207	0.000000	0.000000	7.542207
-25.103557	7.576608	0.000000	0.000000	7.576608
-25.078552	7.611357	0.000000	0.000000	7.611357
-25.053546	7.646105	0.000000	0.000000	7.646105
-25.028541	7.680854	0.000000	0.000000	7.680854
-25.003535	7.715602	0.000000	0.000000	7.715602
-24.978530	7.750351	0.000000	0.000000	7.750351
-24.953525	7.785100	0.000000	0.000000	7.785100
-24.928519	7.819848	0.000000	0.000000	7.819848
-24.903514	7.854597	0.000000	0.000000	7.854597
-24.878508	7.889345	0.000000	0.000000	7.889345
-24.853503	7.923514	0.000000	0.000000	7.923514
-24.828497	7.956449	0.000000	0.000000	7.956449
-24.803492	7.989384	0.000000	0.000000	7.989384
-24.778487	8.022319	0.000000	0.000000	8.022319
-24.753481	8.055254	0.000000	0.000000	8.055254
-24.728476	8.088190	0.000000	0.000000	8.088190
-24.703470	8.121126	0.000000	0.000000	8.121126
-24.678465	8.154062	0.000000	0.000000	8.154062
-24.653459	8.186999	0.000000	0.000000	8.186999
-24.628454	8.219936	0.000000	0.000000	8.219936
-24.603449	8.253956	0.000000	0.000000	8.253956
-24.578443	8.290262	0.000000	0.000000	8.290262
-24.553438	8.326567	0.000000	0.000000	8.326567
-24.528432	8.362873	0.000000	0.000000	8.362873
-24.503427	8.399178	0.000000	0.000000	8.399178
-24.478421	8.435484	0.000000	0.000000	8.435484
-24.453416	8.471790	0.000000	0.000000	8.471790
-24.428411	8.508095	0.000000	0.000000	8.508095
-24.403405	8.544401	0.000000	0.000000	8.544401
-24.378400	8.580707	0.000000	0.000000	8.580707
-24.353394	8.617325	0.000000	0.000000	8.617325
-24.328389	8.654596	0.000000	0.000000	8.654596
-24.303383	8.691867	0.000000	0.000000	8.691867
-24.278378	8.729138	0.000000	0.000000	8.729138
-24.253373	8.766410	0.000000	0.000000	8.766410
-24.228367	8.803682	0.000000	0.000000	8.803682
-24.203362	8.840955	0.000000	0.000000	8.840955
-24.178356	8.878228	0.000000	0.000000	8.878228
-24.153351	8.915501	0.000000	0.000000	8.915501
-24.128345	8.952774	0.000000	0.000000	8.952774
-24.103340	8.990171	0.000000	0.000000	8.990171
-24.078335	9.027821	0.000000	0.000000	9.027821
-24.053329	9.065471	0.000000	0.000000	9.065471
-24.028324	9.103120	0.000000	0.000000	9.103120
-24.003318	9.140768	0.000000	0.000000	9.140768
-23.978313	9.178416	0.000000	0.000000	9.178416
-23.953307	9.216063	0.000000	0.000000	9.216063
-23.928302	9.253709	0.000000	0.000000	9.253709
-23.903296	9.291354	0.000000	0.000000	9.291354
-23.878291	9.328999	0.000000	0.000000	9.328999
-23.853286	9.366380	0.000000	0.000000	9.366380
-23.828280	9.403220	0.000000	0.000000	9.403220
-23.803275	9.440060	0.000000	0.000000	9.440060
-23.778269	9.476900	0.000000	0.000000	9.476900
-23.753264	9.513741	0.000000	0.000000	9.513741
-23.728258	9.550581	0.000000	0.000000	9.550581
-23.703253	9.587421	0.000000	0.000000	9.587421
-23.678248	9.624261	0.000000	0.000000	9.624261
-23.653242	9.661101	0.000000	0.000000	9.661101
-23.628237	9.697941	0.000000	0.000000	9.697941
