Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 2:46:47 PM
Exported by: paberbuj

Start: (-29.79, -9.98, 0.00)
End:   (30.24, -9.98, -0.23)

	40x40	20x20	10x10	Total
-30.029627	6.295260	0.000000	0.000000	6.295260
-30.004622	6.320922	0.000000	0.000000	6.320922
-29.979616	6.346584	0.000000	0.000000	6.346584
-29.954611	6.372245	0.000000	0.000000	6.372245
-29.929606	6.397906	0.000000	0.000000	6.397906
-29.904600	6.423567	0.000000	0.000000	6.423567
-29.879595	6.449227	0.000000	0.000000	6.449227
-29.854589	6.474806	0.000000	0.000000	6.474806
-29.829584	6.500173	0.000000	0.000000	6.500173
-29.804578	6.525540	0.000000	0.000000	6.525540
-29.779573	6.550908	0.000000	0.000000	6.550908
-29.754568	6.576276	0.000000	0.000000	6.576276
-29.729562	6.601644	0.000000	0.000000	6.601644
-29.704557	6.627012	0.000000	0.000000	6.627012
-29.679551	6.652380	0.000000	0.000000	6.652380
-29.654546	6.677749	0.000000	0.000000	6.677749
-29.629540	6.703117	0.000000	0.000000	6.703117
-29.604535	6.728763	0.000000	0.000000	6.728763
-29.579530	6.755120	0.000000	0.000000	6.755120
-29.554524	6.781477	0.000000	0.000000	6.781477
-29.529519	6.807835	0.000000	0.000000	6.807835
-29.504513	6.834192	0.000000	0.000000	6.834192
-29.479508	6.860550	0.000000	0.000000	6.860550
-29.454502	6.886907	0.000000	0.000000	6.886907
-29.429497	6.913265	0.000000	0.000000	6.913265
-29.404491	6.939622	0.000000	0.000000	6.939622
-29.379486	6.965979	0.000000	0.000000	6.965979
-29.354481	6.992703	0.000000	0.000000	6.992703
-29.329475	7.020362	0.000000	0.000000	7.020362
-29.304470	7.048020	0.000000	0.000000	7.048020
-29.279464	7.075679	0.000000	0.000000	7.075679
-29.254459	7.103337	0.000000	0.000000	7.103337
-29.229453	7.130996	0.000000	0.000000	7.130996
-29.204448	7.158654	0.000000	0.000000	7.158654
-29.179443	7.186313	0.000000	0.000000	7.186313
-29.154437	7.213971	0.000000	0.000000	7.213971
-29.129432	7.241630	0.000000	0.000000	7.241630
-29.104426	7.269682	0.000000	0.000000	7.269682
-29.079421	7.298730	0.000000	0.000000	7.298730
-29.054415	7.327777	0.000000	0.000000	7.327777
-29.029410	7.356825	0.000000	0.000000	7.356825
-29.004405	7.385873	0.000000	0.000000	7.385873
-28.979399	7.414921	0.000000	0.000000	7.414921
-28.954394	7.443970	0.000000	0.000000	7.443970
-28.929388	7.473019	0.000000	0.000000	7.473019
-28.904383	7.502068	0.000000	0.000000	7.502068
-28.879377	7.531117	0.000000	0.000000	7.531117
-28.854372	7.560397	0.000000	0.000000	7.560397
-28.829367	7.590252	0.000000	0.000000	7.590252
-28.804361	7.620109	0.000000	0.000000	7.620109
-28.779356	7.649966	0.000000	0.000000	7.649966
-28.754350	7.679823	0.000000	0.000000	7.679823
-28.729345	7.709681	0.000000	0.000000	7.709681
-28.704339	7.739540	0.000000	0.000000	7.739540
-28.679334	7.769399	0.000000	0.000000	7.769399
-28.654329	7.799258	0.000000	0.000000	7.799258
-28.629323	7.829118	0.000000	0.000000	7.829118
-28.604318	7.859628	0.000000	0.000000	7.859628
-28.579312	7.891743	0.000000	0.000000	7.891743
-28.554307	7.923859	0.000000	0.000000	7.923859
-28.529301	7.955973	0.000000	0.000000	7.955973
-28.504296	7.988087	0.000000	0.000000	7.988087
-28.479291	8.020200	0.000000	0.000000	8.020200
-28.454285	8.052313	0.000000	0.000000	8.052313
-28.429280	8.084425	0.000000	0.000000	8.084425
-28.404274	8.116537	0.000000	0.000000	8.116537
-28.379269	8.148648	0.000000	0.000000	8.148648
-28.354263	8.181256	0.000000	0.000000	8.181256
-28.329258	8.215083	0.000000	0.000000	8.215083
-28.304252	8.248911	0.000000	0.000000	8.248911
-28.279247	8.282739	0.000000	0.000000	8.282739
-28.254242	8.316567	0.000000	0.000000	8.316567
-28.229236	8.350395	0.000000	0.000000	8.350395
-28.204231	8.384224	0.000000	0.000000	8.384224
-28.179225	8.418052	0.000000	0.000000	8.418052
-28.154220	8.451881	0.000000	0.000000	8.451881
-28.129214	8.485711	0.000000	0.000000	8.485711
-28.104209	8.519973	0.000000	0.000000	8.519973
