Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 3:13:31 PM
Exported by: paberbuj

Start: (0.28, -20.02, 29.81)
End:   (-0.28, -20.02, -29.81)

	40x40	20x20	10x10	Total
-29.541698	5.504106	0.000000	0.000000	5.504106
-29.516688	5.534550	0.000000	0.000000	5.534550
-29.491677	5.564996	0.000000	0.000000	5.564996
-29.466667	5.591759	0.000000	0.000000	5.591759
-29.441657	5.615764	0.000000	0.000000	5.615764
-29.416647	5.639769	0.000000	0.000000	5.639769
-29.391637	5.663773	0.000000	0.000000	5.663773
-29.366627	5.687778	0.000000	0.000000	5.687778
-29.341617	5.711781	0.000000	0.000000	5.711781
-29.316606	5.735785	0.000000	0.000000	5.735785
-29.291596	5.759787	0.000000	0.000000	5.759787
-29.266586	5.783790	0.000000	0.000000	5.783790
-29.241576	5.807792	0.000000	0.000000	5.807792
-29.216566	5.832009	0.000000	0.000000	5.832009
-29.191556	5.856384	0.000000	0.000000	5.856384
-29.166546	5.880759	0.000000	0.000000	5.880759
-29.141536	5.905134	0.000000	0.000000	5.905134
-29.116525	5.929509	0.000000	0.000000	5.929509
-29.091515	5.953884	0.000000	0.000000	5.953884
-29.066505	5.978260	0.000000	0.000000	5.978260
-29.041495	6.002635	0.000000	0.000000	6.002635
-29.016485	6.027010	0.000000	0.000000	6.027010
-28.991475	6.051385	0.000000	0.000000	6.051385
-28.966465	6.075905	0.000000	0.000000	6.075905
-28.941455	6.100530	0.000000	0.000000	6.100530
-28.916444	6.125154	0.000000	0.000000	6.125154
-28.891434	6.149779	0.000000	0.000000	6.149779
-28.866424	6.174403	0.000000	0.000000	6.174403
-28.841414	6.199028	0.000000	0.000000	6.199028
-28.816404	6.223652	0.000000	0.000000	6.223652
-28.791394	6.248276	0.000000	0.000000	6.248276
-28.766384	6.272900	0.000000	0.000000	6.272900
-28.741373	6.297524	0.000000	0.000000	6.297524
-28.716363	6.322718	0.000000	0.000000	6.322718
-28.691353	6.348322	0.000000	0.000000	6.348322
-28.666343	6.373925	0.000000	0.000000	6.373925
-28.641333	6.399529	0.000000	0.000000	6.399529
-28.616323	6.425133	0.000000	0.000000	6.425133
-28.591313	6.450737	0.000000	0.000000	6.450737
-28.566303	6.476341	0.000000	0.000000	6.476341
-28.541292	6.501945	0.000000	0.000000	6.501945
-28.516282	6.527549	0.000000	0.000000	6.527549
-28.491272	6.553154	0.000000	0.000000	6.553154
-28.466262	6.579060	0.000000	0.000000	6.579060
-28.441252	6.605180	0.000000	0.000000	6.605180
-28.416242	6.631300	0.000000	0.000000	6.631300
-28.391232	6.657419	0.000000	0.000000	6.657419
-28.366221	6.683539	0.000000	0.000000	6.683539
-28.341211	6.709658	0.000000	0.000000	6.709658
-28.316201	6.735777	0.000000	0.000000	6.735777
-28.291191	6.761896	0.000000	0.000000	6.761896
-28.266181	6.788015	0.000000	0.000000	6.788015
-28.241171	6.814133	0.000000	0.000000	6.814133
-28.216161	6.840761	0.000000	0.000000	6.840761
-28.191151	6.867743	0.000000	0.000000	6.867743
-28.166140	6.894725	0.000000	0.000000	6.894725
-28.141130	6.921706	0.000000	0.000000	6.921706
-28.116120	6.948686	0.000000	0.000000	6.948686
-28.091110	6.975667	0.000000	0.000000	6.975667
-28.066100	7.002647	0.000000	0.000000	7.002647
-28.041090	7.029626	0.000000	0.000000	7.029626
-28.016080	7.056605	0.000000	0.000000	7.056605
-27.991069	7.083584	0.000000	0.000000	7.083584
-27.966059	7.110979	0.000000	0.000000	7.110979
-27.941049	7.138660	0.000000	0.000000	7.138660
-27.916039	7.166341	0.000000	0.000000	7.166341
-27.891029	7.194023	0.000000	0.000000	7.194023
-27.866019	7.221706	0.000000	0.000000	7.221706
-27.841009	7.249389	0.000000	0.000000	7.249389
-27.815999	7.277073	0.000000	0.000000	7.277073
-27.790988	7.304757	0.000000	0.000000	7.304757
-27.765978	7.332442	0.000000	0.000000	7.332442
-27.740968	7.360127	0.000000	0.000000	7.360127
-27.715958	7.388507	0.000000	0.000000	7.388507
-27.690948	7.417356	0.000000	0.000000	7.417356
-27.665938	7.446204	0.000000	0.000000	7.446204
-27.640928	7.475052	0.000000	0.000000	7.475052
-27.615918	7.503901	0.000000	0.000000	7.503901
-27.590907	7.532749	0.000000	0.000000	7.532749
-27.565897	7.561597	0.000000	0.000000	7.561597
-27.540887	7.590446	0.000000	0.000000	7.590446
-27.515877	7.619294	0.000000	0.000000	7.619294
-27.490867	7.648142	0.000000	0.000000	7.648142
-27.465857	7.677642	0.000000	0.000000	7.677642
-27.440847	7.707576	0.000000	0.000000	7.707576
-27.415836	7.737511	0.000000	0.000000	7.737511
-27.390826	7.767446	0.000000	0.000000	7.767446
-27.365816	7.797381	0.000000	0.000000	7.797381
-27.340806	7.827316	0.000000	0.000000	7.827316
-27.315796	7.857252	0.000000	0.000000	7.857252
-27.290786	7.887189	0.000000	0.000000	7.887189
-27.265776	7.917125	0.000000	0.000000	7.917125
-27.240766	7.947063	0.000000	0.000000	7.947063
-27.215755	7.977617	0.000000	0.000000	7.977617
-27.190745	8.008575	0.000000	0.000000	8.008575
-27.165735	8.039532	0.000000	0.000000	8.039532
-27.140725	8.070489	0.000000	0.000000	8.070489
-27.115715	8.101446	0.000000	0.000000	8.101446
-27.090705	8.132402	0.000000	0.000000	8.132402
-27.065695	8.163358	0.000000	0.000000	8.163358
-27.040684	8.194313	0.000000	0.000000	8.194313
-27.015674	8.225269	0.000000	0.000000	8.225269
-26.990664	8.256223	0.000000	0.000000	8.256223
-26.965654	8.288074	0.000000	0.000000	8.288074
-26.940644	8.320502	0.000000	0.000000	8.320502
-26.915634	8.352932	0.000000	0.000000	8.352932
-26.890624	8.385362	0.000000	0.000000	8.385362
-26.865614	8.417792	0.000000	0.000000	8.417792
-26.840603	8.450222	0.000000	0.000000	8.450222
-26.815593	8.482653	0.000000	0.000000	8.482653
-26.790583	8.515085	0.000000	0.000000	8.515085
-26.765573	8.547516	0.000000	0.000000	8.547516
-26.740563	8.579949	0.000000	0.000000	8.579949
-26.715553	8.613359	0.000000	0.000000	8.613359
-26.690543	8.647391	0.000000	0.000000	8.647391
-26.665532	8.681423	0.000000	0.000000	8.681423
-26.640522	8.715455	0.000000	0.000000	8.715455
-26.615512	8.749487	0.000000	0.000000	8.749487
-26.590502	8.783519	0.000000	0.000000	8.783519
-26.565492	8.817551	0.000000	0.000000	8.817551
-26.540482	8.851583	0.000000	0.000000	8.851583
-26.515472	8.885615	0.000000	0.000000	8.885615
-26.490462	8.919647	0.000000	0.000000	8.919647
-26.465451	8.954453	0.000000	0.000000	8.954453
-26.440441	8.989743	0.000000	0.000000	8.989743
-26.415431	9.025032	0.000000	0.000000	9.025032
-26.390421	9.060320	0.000000	0.000000	9.060320
-26.365411	9.095607	0.000000	0.000000	9.095607
-26.340401	9.130893	0.000000	0.000000	9.130893
-26.315391	9.166179	0.000000	0.000000	9.166179
-26.290381	9.201463	0.000000	0.000000	9.201463
-26.265370	9.236747	0.000000	0.000000	9.236747
-26.240360	9.272029	0.000000	0.000000	9.272029
-26.215350	9.308559	0.000000	0.000000	9.308559
-26.190340	9.345857	0.000000	0.000000	9.345857
-26.165330	9.383156	0.000000	0.000000	9.383156
-26.140320	9.420455	0.000000	0.000000	9.420455
-26.115310	9.457754	0.000000	0.000000	9.457754
-26.090299	9.495052	0.000000	0.000000	9.495052
-26.065289	9.532351	0.000000	0.000000	9.532351
-26.040279	9.569650	0.000000	0.000000	9.569650
-26.015269	9.606949	0.000000	0.000000	9.606949
-25.990259	9.644247	0.000000	0.000000	9.644247
-25.965249	9.682763	0.000000	0.000000	9.682763
-25.940239	9.722018	0.000000	0.000000	9.722018
-25.915229	9.761274	0.000000	0.000000	9.761274
-25.890218	9.800531	0.000000	0.000000	9.800531
-25.865208	9.839789	0.000000	0.000000	9.839789
-25.840198	9.879048	0.000000	0.000000	9.879048
-25.815188	9.918308	0.000000	0.000000	9.918308
-25.790178	9.957569	0.000000	0.000000	9.957569
-25.765168	9.996831	0.000000	0.000000	9.996831
-25.740158	10.036094	0.000000	0.000000	10.036094
-25.715147	10.076622	0.000000	0.000000	10.076622
-25.690137	10.117907	0.000000	0.000000	10.117907
-25.665127	10.159192	0.000000	0.000000	10.159192
-25.640117	10.200477	0.000000	0.000000	10.200477
-25.615107	10.241761	0.000000	0.000000	10.241761
-25.590097	10.283046	0.000000	0.000000	10.283046
-25.565087	10.324331	0.000000	0.000000	10.324331
-25.540077	10.365616	0.000000	0.000000	10.365616
-25.515066	10.406901	0.000000	0.000000	10.406901
-25.490056	10.448186	0.000000	0.000000	10.448186
-25.465046	10.490941	0.000000	0.000000	10.490941
